Date,Company,Adj Close
31-05-2016,GM,26.410284
01-06-2016,GM,25.51531
02-06-2016,GM,25.54908
03-06-2016,GM,24.991831
06-06-2016,GM,25.321117
07-06-2016,GM,25.523752
08-06-2016,GM,25.284334
09-06-2016,GM,25.104774
10-06-2016,GM,24.848249
13-06-2016,GM,24.865353
14-06-2016,GM,24.651583
15-06-2016,GM,24.67724
16-06-2016,GM,24.814049
17-06-2016,GM,24.993614
20-06-2016,GM,25.352737
21-06-2016,GM,25.23303
22-06-2016,GM,25.070572
23-06-2016,GM,25.4981
24-06-2016,GM,24.241152
27-06-2016,GM,23.522894
28-06-2016,GM,23.719561
29-06-2016,GM,24.08724
30-06-2016,GM,24.198397
01-07-2016,GM,24.702888
05-07-2016,GM,24.08724
06-07-2016,GM,24.283905
07-07-2016,GM,24.574627
08-07-2016,GM,25.361292
11-07-2016,GM,25.763174
12-07-2016,GM,26.165058
13-07-2016,GM,26.190704
14-07-2016,GM,26.301867
15-07-2016,GM,26.310419
18-07-2016,GM,26.395922
19-07-2016,GM,26.720844
20-07-2016,GM,26.926064
21-07-2016,GM,27.3878
22-07-2016,GM,27.498957
25-07-2016,GM,27.413452
26-07-2016,GM,27.49041
27-07-2016,GM,27.37925
28-07-2016,GM,26.498533
29-07-2016,GM,26.968822
01-08-2016,GM,26.763597
02-08-2016,GM,25.592161
03-08-2016,GM,25.857229
04-08-2016,GM,25.942734
05-08-2016,GM,26.336069
08-08-2016,GM,26.404476
09-08-2016,GM,26.566935
10-08-2016,GM,26.720844
11-08-2016,GM,27.148378
12-08-2016,GM,26.994471
15-08-2016,GM,27.242435
16-08-2016,GM,27.11418
17-08-2016,GM,27.233887
18-08-2016,GM,26.977365
19-08-2016,GM,27.216787
22-08-2016,GM,27.250992
23-08-2016,GM,27.27664
24-08-2016,GM,27.174034
25-08-2016,GM,26.968822
26-08-2016,GM,26.960268
29-08-2016,GM,27.199686
30-08-2016,GM,27.079975
31-08-2016,GM,27.293745
01-09-2016,GM,27.191137
02-09-2016,GM,27.498957
06-09-2016,GM,27.464752
07-09-2016,GM,27.594551
08-09-2016,GM,27.438795
09-09-2016,GM,26.37447
12-09-2016,GM,26.980186
13-09-2016,GM,26.772511
14-09-2016,GM,26.57349
15-09-2016,GM,26.92827
16-09-2016,GM,26.798471
19-09-2016,GM,27.447451
20-09-2016,GM,27.386877
21-09-2016,GM,27.784922
22-09-2016,GM,28.027208
23-09-2016,GM,27.793571
26-09-2016,GM,27.516674
27-09-2016,GM,27.343615
28-09-2016,GM,27.603205
29-09-2016,GM,27.23978
30-09-2016,GM,27.490713
03-10-2016,GM,27.72435
04-10-2016,GM,27.836836
05-10-2016,GM,28.278143
06-10-2016,GM,28.148346
07-10-2016,GM,27.98394
10-10-2016,GM,27.819534
11-10-2016,GM,27.594551
12-10-2016,GM,27.412836
13-10-2016,GM,27.265734
14-10-2016,GM,27.577246
17-10-2016,GM,27.309
18-10-2016,GM,27.170553
19-10-2016,GM,27.559937
20-10-2016,GM,27.473408
21-10-2016,GM,27.72435
24-10-2016,GM,28.537735
25-10-2016,GM,27.343615
26-10-2016,GM,27.326305
27-10-2016,GM,27.109983
28-10-2016,GM,27.101328
31-10-2016,GM,27.343615
01-11-2016,GM,27.23978
02-11-2016,GM,27.213818
03-11-2016,GM,26.885
04-11-2016,GM,26.962877
07-11-2016,GM,27.707039
08-11-2016,GM,27.456102
09-11-2016,GM,26.789816
10-11-2016,GM,28.321407
11-11-2016,GM,29.437649
14-11-2016,GM,28.797323
15-11-2016,GM,28.927122
16-11-2016,GM,28.754061
17-11-2016,GM,28.918461
18-11-2016,GM,28.555038
21-11-2016,GM,28.563688
22-11-2016,GM,29.255941
23-11-2016,GM,29.299198
25-11-2016,GM,29.636667
28-11-2016,GM,29.46361
29-11-2016,GM,29.91357
30-11-2016,GM,29.878952
01-12-2016,GM,31.523035
02-12-2016,GM,30.640423
05-12-2016,GM,30.561695
06-12-2016,GM,30.675409
07-12-2016,GM,31.751287
08-12-2016,GM,31.856243
09-12-2016,GM,32.940857
12-12-2016,GM,32.451038
13-12-2016,GM,32.678455
14-12-2016,GM,31.445141
15-12-2016,GM,31.698797
16-12-2016,GM,31.812511
19-12-2016,GM,31.838749
20-12-2016,GM,32.022434
21-12-2016,GM,31.856243
22-12-2016,GM,31.217722
23-12-2016,GM,31.217722
27-12-2016,GM,31.086515
28-12-2016,GM,30.74539
29-12-2016,GM,30.736641
30-12-2016,GM,30.474236
03-01-2017,GM,30.74539
04-01-2017,GM,32.442291
05-01-2017,GM,31.830006
06-01-2017,GM,31.480127
09-01-2017,GM,31.497618
10-01-2017,GM,32.669716
11-01-2017,GM,33.194527
12-01-2017,GM,32.809658
