Date,Company,Adj Close
31-05-2016,Ford,10.736203
01-06-2016,Ford,10.433773
02-06-2016,Ford,10.513361
03-06-2016,Ford,10.378063
06-06-2016,Ford,10.489487
07-06-2016,Ford,10.648657
08-06-2016,Ford,10.632741
09-06-2016,Ford,10.553153
10-06-2016,Ford,10.425817
13-06-2016,Ford,10.330312
14-06-2016,Ford,10.218892
15-06-2016,Ford,10.354189
16-06-2016,Ford,10.44173
17-06-2016,Ford,10.553153
20-06-2016,Ford,10.680492
21-06-2016,Ford,10.52132
22-06-2016,Ford,10.489487
23-06-2016,Ford,10.664576
24-06-2016,Ford,9.964214
27-06-2016,Ford,9.677702
28-06-2016,Ford,9.860751
29-06-2016,Ford,9.988091
30-06-2016,Ford,10.004008
01-07-2016,Ford,10.123388
05-07-2016,Ford,9.868711
06-07-2016,Ford,10.004008
07-07-2016,Ford,10.147264
08-07-2016,Ford,10.417858
11-07-2016,Ford,10.561112
12-07-2016,Ford,10.70437
13-07-2016,Ford,10.728243
14-07-2016,Ford,10.815787
15-07-2016,Ford,10.799873
18-07-2016,Ford,10.863541
19-07-2016,Ford,10.863541
20-07-2016,Ford,10.935168
21-07-2016,Ford,11.078426
22-07-2016,Ford,11.014757
25-07-2016,Ford,11.006797
26-07-2016,Ford,11.151623
27-07-2016,Ford,11.135532
28-07-2016,Ford,10.226344
29-07-2016,Ford,10.186113
01-08-2016,Ford,10.041287
02-08-2016,Ford,9.606809
03-08-2016,Ford,9.75968
04-08-2016,Ford,9.719453
05-08-2016,Ford,9.807957
08-08-2016,Ford,9.799911
09-08-2016,Ford,9.904508
10-08-2016,Ford,9.856231
11-08-2016,Ford,9.904508
12-08-2016,Ford,9.9206
15-08-2016,Ford,10.001058
16-08-2016,Ford,9.928647
17-08-2016,Ford,9.968874
18-08-2016,Ford,9.9206
19-08-2016,Ford,9.968874
22-08-2016,Ford,9.944737
23-08-2016,Ford,9.993011
24-08-2016,Ford,9.896462
25-08-2016,Ford,10.033242
26-08-2016,Ford,9.96083
29-08-2016,Ford,10.033242
30-08-2016,Ford,10.09761
31-08-2016,Ford,10.13784
01-09-2016,Ford,10.009105
02-09-2016,Ford,10.05738
06-09-2016,Ford,10.194161
07-09-2016,Ford,10.218298
08-09-2016,Ford,10.242435
09-09-2016,Ford,9.96083
12-09-2016,Ford,10.218298
13-09-2016,Ford,9.96083
14-09-2016,Ford,9.767728
15-09-2016,Ford,9.743589
16-09-2016,Ford,9.743589
19-09-2016,Ford,9.743589
20-09-2016,Ford,9.655085
21-09-2016,Ford,9.727498
22-09-2016,Ford,9.799911
23-09-2016,Ford,9.791863
26-09-2016,Ford,9.663128
27-09-2016,Ford,9.638993
28-09-2016,Ford,9.727498
29-09-2016,Ford,9.630947
30-09-2016,Ford,9.711407
03-10-2016,Ford,9.735544
04-10-2016,Ford,9.816004
05-10-2016,Ford,10.041287
06-10-2016,Ford,9.968874
07-10-2016,Ford,9.888415
10-10-2016,Ford,9.751635
11-10-2016,Ford,9.647038
12-10-2016,Ford,9.622901
13-10-2016,Ford,9.58267
14-10-2016,Ford,9.58267
17-10-2016,Ford,9.558534
18-10-2016,Ford,9.566579
19-10-2016,Ford,9.663128
20-10-2016,Ford,9.630947
21-10-2016,Ford,9.671175
24-10-2016,Ford,9.807957
25-10-2016,Ford,9.653179
26-10-2016,Ford,9.677618
27-10-2016,Ford,9.563574
28-10-2016,Ford,9.54728
31-10-2016,Ford,9.563574
01-11-2016,Ford,9.457671
02-11-2016,Ford,9.286604
03-11-2016,Ford,9.245872
04-11-2016,Ford,9.237725
07-11-2016,Ford,9.433235
08-11-2016,Ford,9.351772
09-11-2016,Ford,9.433235
10-11-2016,Ford,9.726494
11-11-2016,Ford,10.003464
14-11-2016,Ford,9.82425
15-11-2016,Ford,9.807958
16-11-2016,Ford,9.775372
17-11-2016,Ford,9.669472
18-11-2016,Ford,9.579865
21-11-2016,Ford,9.604302
22-11-2016,Ford,9.685764
23-11-2016,Ford,9.69391
25-11-2016,Ford,9.807958
28-11-2016,Ford,9.710204
29-11-2016,Ford,9.710204
30-11-2016,Ford,9.742787
01-12-2016,Ford,10.125656
02-12-2016,Ford,9.97088
05-12-2016,Ford,10.133801
06-12-2016,Ford,10.231556
07-12-2016,Ford,10.638864
08-12-2016,Ford,10.614423
09-12-2016,Ford,10.728472
12-12-2016,Ford,10.443356
13-12-2016,Ford,10.402627
14-12-2016,Ford,10.207117
15-12-2016,Ford,10.247848
16-12-2016,Ford,10.288578
19-12-2016,Ford,10.313017
20-12-2016,Ford,10.410771
21-12-2016,Ford,10.296725
22-12-2016,Ford,10.101216
23-12-2016,Ford,10.150093
27-12-2016,Ford,10.093071
28-12-2016,Ford,9.979024
29-12-2016,Ford,9.962733
30-12-2016,Ford,9.88127
03-01-2017,Ford,10.255995
04-01-2017,Ford,10.728472
05-01-2017,Ford,10.402627
06-01-2017,Ford,10.39448
09-01-2017,Ford,10.288578
10-01-2017,Ford,10.467794
11-01-2017,Ford,10.321165
12-01-2017,Ford,10.255995
13-01-2017,Ford,10.288578
17-01-2017,Ford,10.272288
18-01-2017,Ford,10.272288
19-01-2017,Ford,10.288842
20-01-2017,Ford,10.2309
23-01-2017,Ford,10.189513
24-01-2017,Ford,10.437836
25-01-2017,Ford,10.586829
26-01-2017,Ford,10.239177
27-01-2017,Ford,10.338505
30-01-2017,Ford,10.239177
31-01-2017,Ford,10.2309
01-02-2017,Ford,10.19779
02-02-2017,Ford,10.16468
03-02-2017,Ford,10.396448
06-02-2017,Ford,10.363338
07-02-2017,Ford,10.214345
08-02-2017,Ford,10.247454
09-02-2017,Ford,10.247454
10-02-2017,Ford,10.35506
13-02-2017,Ford,10.396448
14-02-2017,Ford,10.470943
15-02-2017,Ford,10.454391
16-02-2017,Ford,10.379891
17-02-2017,Ford,10.413003
21-02-2017,Ford,10.504054
22-02-2017,Ford,10.487501
23-02-2017,Ford,10.396448
24-02-2017,Ford,10.321951
27-02-2017,Ford,10.479222
28-02-2017,Ford,10.371616
01-03-2017,Ford,10.504054
02-03-2017,Ford,10.479222
03-03-2017,Ford,10.470943
06-03-2017,Ford,10.363338
07-03-2017,Ford,10.313674
08-03-2017,Ford,10.371616
09-03-2017,Ford,10.346782
10-03-2017,Ford,10.371616
13-03-2017,Ford,10.379891
14-03-2017,Ford,10.38817
15-03-2017,Ford,10.470943
16-03-2017,Ford,10.512331
